name,price,Performance_1_to_10,Weight_Proxy,Battery_Proxy,processor,ram,storage,graphics_card,img
Samsung Galaxy Book 4 Edge np750xqb-ka1in Laptop,64990,1.1487603305785123,1.632455620222617,8.0,Qualcomm Snapdragon X Elite X1-26-100,16 GB LPDDR5X RAM,512 GB  ,Qualcomm Adreno GPU,https://cdn1.smartprix.com/rx-idXdofbor-w280-h280/samsung-galaxy-book.webp
HP Omen 16-xf0060AX Gaming Laptop,105990,5.279338842975207,2.7742990219864656,4.0,7th Gen AMD Ryzen 7 7840HS,16 GB DDR5 RAM,1 TB  ,8 GB NVIDIA GeForce RTX 4060,https://cdn1.smartprix.com/rx-iKqCat16t-w280-h280/hp-omen-16-xf0060ax.webp
Apple MacBook Air 2022 Laptop,78990,2.884297520661157,1.2063033354607589,9.5,Apple M2,16 GB Unified Memory RAM,256 GB  ,10-Core GPU,https://cdn1.smartprix.com/rx-iD0cxZkFL-w280-h280/apple-macbook-air-20.webp
Lenovo 100e Chromebook Gen 4 82W1000DHA Laptop,37504,1.0,1.707553038166383,6.5,MediaTek Kompanio 520 520,8 GB LPDDR4X RAM,64 GB  ,MediaTek Integrated Arm Mali-G52,https://cdn1.smartprix.com/rx-imwmA29jt-w280-h280/lenovo-100e-chromebo.webp
Asus TUF Gaming A16 FA607NUG-RL189WS Gaming Laptop,91990,4.788429752066116,2.799911375269711,4.0,AMD Ryzen 7 7445HS,16 GB DDR5 RAM,1 TB  ,6 GB NVIDIA GeForce RTX 4050,https://cdn1.smartprix.com/rx-iIv325Y0L-w280-h280/asus-tuf-gaming-a16.webp
Dell Inspiron 14 5440 Laptop,34490,1.4958677685950414,1.7313580911113708,8.0,13th Gen Intel Core i3 1305U,8 GB RAM,512 GB  ,Intel Graphics,https://cdn1.smartprix.com/rx-iG7KHOeKr-w280-h280/dell-inspiron-14-544.webp
Acer Aspire 7 A715-79G UN.U2KSI.001 Gaming Laptop,72999,6.890909090909091,2.6523569811496253,4.0,13th Gen Intel Core i7 13620H,16 GB DDR4 RAM,512 GB  ,6 GB NVIDIA GeForce RTX 3050,https://cdn1.smartprix.com/rx-ieS6F9LJa-w280-h280/acer-aspire-7-a715-7.webp
MSI Crosshair 16 HX AI D2XWFKG Gaming Laptop,180990,4.966942148760331,2.694884534368556,4.0,Intel Core Ultra 9 275HX,16 GB DDR5 RAM,1 TB  ,8 GB NVIDIA GeForce RTX 5060,https://cdn1.smartprix.com/rx-iC2LdHPpG-w280-h280/msi-crosshair-16-hx.webp
Asus Gaming V16 2025 V3607VH-RP038WS Laptop,114990,1.1487603305785123,2.516537209411237,4.0,Intel Core 7 240H,16 GB DDR5 RAM,512 GB  ,8 GB NVIDIA GeForce RTX 5050,https://cdn1.smartprix.com/rx-i6IBsIRqT-w280-h280/asus-gaming-v16-2025.webp
Acer 2025 Predator Helios Neo16S AI PHN16S-71 Gaming Laptop,154999,3.925619834710744,2.6596092030726055,4.0,Intel Core Ultra 7 255HX,16 GB LPDDR5X RAM,1 TB  ,8 GB NVIDIA GeForce RTX 5050,https://cdn1.smartprix.com/rx-izWvAuxLA-w280-h280/acer-2025-predator-h.webp
HP 15-fd1284TU Laptop,41499,1.0,1.6869220598706045,8.0,Intel Core 3 100U,16 GB RAM,512 GB  ,Intel Integrated,https://cdn1.smartprix.com/rx-i8sPv0PSP-w280-h280/hp-15-fd1284tu-lapto.webp
